id,publication,country,url,rss_available,rss_url,website_available,scrape_difficulty,editorial_category,marques_covered,drv247_relevance,enabled,source_type,rss_verified_status,rss_confidence
auto_013,EuroStance,UK,https://www.euro-stance.com,no,,yes,medium,Modified; stance; builds; community; events; interviews,BMW; Volkswagen; Audi; Mercedes-Benz; Porsche; Japanese; broad modified,Excellent: UK/EU modified scene,True,scrape,no_public_rss_found,not_found
auto_014,Driven to Write,International / European-based,https://driventowrite.com,unverified,https://driventowrite.com/feed/,yes,low,Independent long-form; design; engineering; culture; people,Very broad; classic; modern; obscure marques,Excellent: distinctive long-form editorial,True,rss_then_fallback,likely_wordpress_rss,unverified
auto_015,Take to the Road,UK,https://www.taketotheroad.co.uk,yes,https://www.taketotheroad.co.uk/feed/,yes,low,Classic cars; news; features; reviews; events,MG; Jaguar; Porsche; Ferrari; Triumph; Mini; broad classics,Excellent: classic/events,True,rss,confirmed,verified
auto_016,GTspirit,Netherlands,https://gtspirit.com,yes,https://gtspirit.com/rss/,yes,low,Supercars; luxury; road tests; events; lifestyle,Ferrari; Lamborghini; Porsche; McLaren; Aston Martin; Pagani; Koenigsegg,Excellent: supercar/lifestyle,True,rss,confirmed,verified
auto_017,Dyler,Netherlands,https://dyler.com,no,,yes,medium,Classic cars; buying; history; auctions; market,Porsche; Ferrari; Jaguar; Mercedes-Benz; BMW; Alfa Romeo; broad classics,Excellent: classic marketplace/editorial,True,scrape,stale_rss,not_found
auto_018,Car & Classic,UK,https://www.carandclassic.com,no,,yes,medium,Classic cars; classifieds; market; auctions; editorial,Very broad classic marques,Excellent: marketplace + valuation/vehicle relevance,True,scrape,no_public_rss_found,not_found
auto_019,Classics World,UK,https://classicsworld.co.uk,yes,https://classicsworld.co.uk/feed/,yes,low,Classic cars; restoration; buying; events; history,MG; Triumph; Jaguar; Ford; Mini; Porsche; broad classics,Excellent: ownership/restoration,True,rss,confirmed,verified
auto_020,Classic & Sports Car,UK,https://www.classicandsportscar.com,no,,yes,medium,Classic/performance; road tests; buying; auctions; features,Ferrari; Porsche; Jaguar; Aston Martin; BMW; Mercedes-Benz; broad,Excellent,True,scrape,no_public_rss_found,not_found
auto_021,Practical Classics,UK,https://www.practicalclassics.co.uk,yes,https://rss.onebauer.media/api/feed-aggregator?hostname=https://www.practicalclassics.co.uk,yes,low,Classic ownership; restoration; maintenance; buying,MG; Triumph; Jaguar; Ford; Mini; Rover; broad classics,Excellent: maintenance/jobs/reminders adjacency,True,rss,confirmed,verified
auto_022,Fast Car,UK,https://www.fastcar.co.uk,yes,https://www.fastcar.co.uk/feed/,yes,low,Modified; tuning; stance; performance; products,BMW; Volkswagen; Audi; Honda; Nissan; Ford; Japanese; broad modified,Excellent: modified scene,True,rss,confirmed,verified
auto_023,PistonHeads,UK,https://www.pistonheads.com,yes,https://www.pistonheads.com/news/rss,yes,low,News; classifieds; reviews; performance; motorsport; community,Very broad; strong UK performance/enthusiast coverage,Excellent: UK enthusiast ecosystem,True,rss,confirmed,verified
auto_024,evo,UK,https://www.evo.co.uk,unverified,https://www.evo.co.uk/rss,yes,low,Performance cars; road tests; driving; buying,Ferrari; Porsche; Lamborghini; BMW; McLaren; Lotus; broad performance,Excellent,True,rss_then_fallback,likely_feed,unverified
auto_025,CAR Magazine,UK,https://www.carmagazine.co.uk,yes,https://www.carmagazine.co.uk/rss/,yes,low,News; design; new cars; features; performance,All major marques,Good: broader new-car editorial,True,rss,confirmed,verified
auto_026,Autocar,UK,https://www.autocar.co.uk,yes,https://www.autocar.co.uk/rss,yes,low,News; reviews; features; industry,All major marques,Good: high-volume mainstream source,True,rss,confirmed,verified
auto_027,Auto Express,UK,https://www.autoexpress.co.uk,yes,https://www.autoexpress.co.uk/rss,yes,low,News; reviews; buying; consumer,All major marques,Good: scale/supporting feed,True,rss,confirmed,verified
auto_028,Top Gear,UK,https://www.topgear.com,no,,yes,medium,Entertainment; reviews; features; culture; video,All major marques; performance/supercars,Excellent: high-engagement culture,True,scrape,no_public_rss_found,not_found
auto_029,Motor Sport Magazine,UK,https://www.motorsportmagazine.com,no,,yes,medium,Motorsport history; racing; road cars; personalities,Porsche; Ferrari; McLaren; Lotus; Jaguar; BMW; Mercedes-Benz; broad racing,Excellent,True,scrape,no_public_rss_found,not_found
auto_030,Autosport,UK,https://www.autosport.com,no,,yes,medium,Motorsport news; racing; F1; endurance; rally,All major competition marques,Good: motorsport layer,True,scrape,no_public_rss_found,not_found
auto_031,RaceFans,UK,https://www.racefans.net,yes,https://www.racefans.net/feed/,yes,low,F1; endurance; motorsport,Ferrari; Mercedes; McLaren; Red Bull; Alpine; broad racing,Good: motorsport,True,rss,confirmed,verified
auto_032,The Checkered Flag,UK,https://www.thecheckeredflag.co.uk,yes,https://www.thecheckeredflag.co.uk/feed,yes,low,Motorsport news/features; F1; WEC; WRC; BTCC,All competition marques,Good: motorsport/event layer,True,rss,confirmed,verified
auto_033,Race Tech Magazine,UK,https://www.racetechmag.com,yes,https://www.racetechmag.com/feed,yes,low,Motorsport engineering; technical; racing,Broad competition; engineering suppliers,Good: technical/engineering,True,rss,confirmed,verified
auto_034,Automotive World,UK,https://www.automotiveworld.com,yes,https://www.automotiveworld.com/feed/,yes,low,Automotive industry; technology; mobility,All OEMs; suppliers,Medium: industry intelligence,True,rss,confirmed,verified
auto_035,Just Auto,UK,https://www.just-auto.com,yes,https://www.just-auto.com/feed/,yes,low,Automotive industry; manufacturing; business,All OEMs/suppliers,Medium: industry layer,True,rss,confirmed,verified
auto_036,Car Design News,UK,https://www.cardesignnews.com,no,,yes,medium,Automotive design; studios; designers; concepts,All OEMs; strong design focus,Excellent: design/culture,True,scrape,no_public_rss_found,not_found
auto_037,Car Body Design,Italy,https://www.carbodydesign.com,yes,https://www.carbodydesign.com/feed/,yes,low,Automotive design; styling; engineering; concepts,All OEMs; Ferrari; Lamborghini; Alfa Romeo; BMW; Porsche,Excellent: design,True,rss,confirmed,verified
auto_038,CE Auto Classic,Central Europe,https://ceautoclassic.eu,yes,https://ceautoclassic.eu/feed/,yes,low,Classic cars; events; Central/Eastern Europe,Broad European classics,Excellent: European events,True,rss,confirmed,verified
auto_039,Motor1 Germany,Germany,https://de.motor1.com,yes,https://de.motor1.com/rss/articles/all,yes,low,News; reviews; new cars; supercars,All major marques,Good: German/EU scale,True,rss,confirmed,verified
auto_040,AUTO ZEITUNG,Germany,https://www.autozeitung.de,no,,yes,medium,Reviews; new cars; performance; buying,All major marques; German brands,Good: German market,True,scrape,no_public_rss_found,not_found
auto_041,AUTO BILD,Germany,https://www.autobild.de,no,,yes,medium,News; reviews; performance; classics; motorsport,All major marques; strong German brands,Good: German scale,True,scrape,no_public_rss_found,not_found
auto_042,Automobilwoche,Germany,https://www.automobilwoche.de,no,,yes,medium,Automotive business; industry; manufacturers,All OEMs/suppliers,Medium: industry,True,scrape,no_public_rss_found,not_found
auto_043,Rampstyle / ramp Auto.Kultur,Germany,https://ramp.space,no,,yes,medium,Auto-culture; fashion; design; art; lifestyle,Porsche; Mercedes-Benz; BMW; Ferrari; Lamborghini; premium,Excellent: culture,True,scrape,no_public_rss_found,not_found
auto_044,The Car Expert,UK,https://www.thecarexpert.co.uk,yes,https://www.thecarexpert.co.uk/feed/,yes,low,Buying; ownership; reviews; consumer advice,All major marques,Medium: ownership,True,rss,confirmed,verified
auto_045,Carwow,UK,https://www.carwow.co.uk,no,,yes,medium,Reviews; comparisons; performance; video,All major marques,Good: high reach but less high-culture,True,scrape,no_public_rss_found,not_found
auto_046,Sunday Times Driving,UK,https://www.driving.co.uk,no,,yes,medium,Luxury; new cars; classic; lifestyle; motoring,Broad; premium/performance,Good: premium editorial,True,scrape,no_public_rss_found,not_found
auto_047,The Automobile,UK,https://www.theautomobile.co.uk,yes,https://www.theautomobile.co.uk/feed,yes,low,Collector cars; design; history; concours; people,Bentley; Rolls-Royce; Jaguar; Ferrari; Porsche; Aston Martin; broad collector,Excellent: high-culture collector editorial,True,rss,confirmed,verified
auto_048,Flat 6 Magazine,France,https://www.flat6mag.com,yes,https://www.flat6mag.com/feed,yes,low,Porsche culture; news; history; events; buying; valuation; owner stories,Porsche only: 356; 911; 912; 914; 924; 928; 944; 959; 968; Boxster; Cayman; Macan; Cayenne; Taycan,"Excellent: especially valuable for Porsche owners, model matching and valuation",True,rss,confirmed,verified
auto_049,9WERKS,UK,https://9werks.co.uk,yes,https://9werks.co.uk/feed,yes,low,Porsche culture; journalism; events; drives; community; specialists,Porsche only; especially 911 and air-cooled cars,"Excellent: events, drives, specialists and Porsche-specific content",True,rss,confirmed,verified
auto_050,911 & Porsche World,UK,https://shop.kelsey.co.uk/911-and-porsche-world-magazine,no,,yes,high,Porsche ownership; technical; buying guides; projects; motorsport; events,Porsche: 356; 911; transaxle; Boxster; Cayman; Cayenne; Macan; Panamera,Excellent: ownership/maintenance/model-specific content,True,scrape,no_public_rss_found,not_found
auto_051,Turnpike,UK,https://turnpike.global,yes,https://turnpike.global/feed,yes,low,Automotive culture; stories; community; events,Broad enthusiast and car culture,Excellent: UK car-culture storytelling,True,rss,confirmed,verified
